user_id,total_interacciones,necesidad_principal,canal_preferido,ratio_ruido,clusters_frecuentes,primera_interaccion,ultima_interaccion
USR-00001,3,Desconocido/Ninguno,1,100.00%,"{""Ruido"": 3}",07/08/2025 00:00,07/08/2025 00:00
USR-00002,3,"Auto, Crédito, Quiero, Automotriz, Credito",1,66.67%,"{""Ruido"": 2, ""Auto, Crédito, Quiero, Automotriz, Credito"": 1}",17/09/2025 00:00,17/09/2025 00:00
USR-00003,3,"Puedo, Bancos, Banregio, Independiente, Transferencia",1,0.00%,"{""Puedo, Bancos, Banregio, Independiente, Transferencia"": 1, ""Número, Teléfono, Numero, Puedo, Llamar"": 1, ""Hablar, Puedo, Quiero, Contacto, Alguien"": 1}",11/10/2025 00:00,11/10/2025 00:00
USR-00004,3,"Cancelar, Crédito, Quiero, Cómo, Credito",1,33.33%,"{""Cancelar, Crédito, Quiero, Cómo, Credito"": 2, ""Ruido"": 1}",12/11/2025 00:00,12/11/2025 00:00
USR-00005,5,"Crédito, Personal, Credito, Puedo, Quiero",1,60.00%,"{""Ruido"": 3, ""Crédito, Personal, Credito, Puedo, Quiero"": 1, ""Meses, 000, Enganche, 60, 36"": 1}",09/10/2025 00:00,09/10/2025 00:00
USR-00006,1,"Límite, Depósitos, Puedo, Cuál, Depósito",1,0.00%,"{""Límite, Depósitos, Puedo, Cuál, Depósito"": 1}",19/09/2025 00:00,19/09/2025 00:00
USR-00007,1,"Dinero, Pago, Puedo, Compra, Si",1,0.00%,"{""Dinero, Pago, Puedo, Compra, Si"": 1}",21/08/2025 00:00,21/08/2025 00:00
USR-00009,3,"Puedo, Física, Si, Cómo, Solicitar",2,33.33%,"{""Puedo, Física, Si, Cómo, Solicitar"": 1, ""Atención, Número, Clientes, Cliente, Centro"": 1, ""Ruido"": 1}",,
USR-00010,2,Desconocido/Ninguno,1,100.00%,"{""Ruido"": 2}",24/07/2025 00:00,31/08/2025 00:00
USR-00011,3,"Aplicación, Puedo, Cómo, Actualizar, Si",1,33.33%,"{""Aplicación, Puedo, Cómo, Actualizar, Si"": 1, ""Si, Puedo, Quiero, Aparece, Cómo"": 1, ""Ruido"": 1}",18/08/2025 00:00,18/08/2025 00:00
USR-00012,1,Desconocido/Ninguno,1,100.00%,"{""Ruido"": 1}",01/10/2025 00:00,01/10/2025 00:00
USR-00013,2,"Atención, Número, Clientes, Cliente, Centro",1,0.00%,"{""Atención, Número, Clientes, Cliente, Centro"": 2}",01/10/2025 00:00,05/10/2025 00:00
USR-00014,5,"Préstamo, Personal, Quiero, Puedo, Solicitar",1,20.00%,"{""Préstamo, Personal, Quiero, Puedo, Solicitar"": 3, ""Crédito, Personal, Credito, Puedo, Quiero"": 1, ""Ruido"": 1}",24/09/2025 00:00,10/10/2025 00:00
USR-00015,19,"Puedo, Bancos, Banregio, Independiente, Transferencia",1,63.16%,"{""Ruido"": 12, ""Puedo, Bancos, Banregio, Independiente, Transferencia"": 2, ""Aplicación, Puedo, Cómo, Actualizar, Si"": 1, ""Si, Puedo, Quiero, Aparece, Cómo"": 1, ""Crédito, Credito, Solicitar, Quiero, Puedo"": 1, ""Débito, Deuda, Debito, Crédito, Si"": 1, ""Pay, Apple, Verificar, Cómo, Puedo"": 1}",11/09/2025 00:00,26/10/2025 00:00
USR-00016,1,Desconocido/Ninguno,1,100.00%,"{""Ruido"": 1}",13/11/2025 00:00,13/11/2025 00:00
