user_id,edad,sexo,estado,ciudad,nivel_educativo,ocupacion,ingreso_mensual_mxn,antiguedad_dias,es_hey_pro,nomina_domiciliada,canal_apertura,score_buro,dias_desde_ultimo_login,preferencia_canal,satisfaccion_1_10,recibe_remesas,usa_hey_shop,idioma_preferido,tiene_seguro,num_productos_activos,patron_uso_atipico
USR-00001,21,M,Ciudad de México,CDMX - Benito Juárez,Preparatoria,Empleado,24500,1554,True,False,App,527,1,app_android,10.0,False,True,es_MX,False,2,False
USR-00002,18,M,Jalisco,Puerto Vallarta,Preparatoria,Estudiante,19000,1410,True,False,App,714,3,app_android,8.0,False,True,es_MX,True,2,False
USR-00003,23,H,Chihuahua,Cuauhtémoc,Licenciatura,Estudiante,14000,1174,True,False,App,454,3,app_ios,8.0,False,True,es_MX,False,2,False
USR-00004,32,SE,Nuevo León,Guadalupe,Posgrado,Empleado,61000,1168,False,False,Fan Shop,837,16,app_ios,10.0,True,False,es_MX,True,3,False
USR-00005,26,M,Ciudad de México,CDMX - Cuauhtémoc,Preparatoria,Empresario,27000,816,True,False,Fan Shop,533,1,app_ios,7.0,False,True,es_MX,True,2,False
USR-00006,27,H,Otros,Zacatecas,Licenciatura,Empleado,28000,1215,True,False,App,502,1,app_android,9.0,False,False,es_MX,True,2,False
USR-00007,41,SE,Baja California,Mexicali,Secundaria,Empleado,32000,1345,True,True,App,615,8,app_android,9.0,False,True,es_MX,True,4,False
USR-00008,31,H,,,Licenciatura,Empleado,11500,1117,True,False,App,601,0,app_android,10.0,False,True,es_MX,True,2,False
USR-00009,54,H,Nuevo León,San Nicolás de los Garza,Preparatoria,Empleado,19500,185,False,True,App,665,7,app_android,9.0,False,True,es_MX,False,2,False
USR-00010,26,H,Coahuila,Monclova,Preparatoria,Independiente,23500,357,False,False,Fan Shop,609,2,app_ios,7.0,False,False,es_MX,False,1,False
USR-00011,42,M,Ciudad de México,CDMX - Cuauhtémoc,Preparatoria,Empleado,60000,1702,False,True,App,592,7,app_ios,10.0,False,False,es_MX,False,2,False
USR-00012,33,H,Guanajuato,Salamanca,Posgrado,Empleado,18000,664,True,False,Fan Shop,482,9,app_ios,5.0,False,True,es_MX,True,3,False
USR-00013,52,H,Nuevo León,Monterrey,Posgrado,Empleado,26000,953,False,True,App,612,5,app_ios,10.0,False,False,es_MX,True,2,True
USR-00014,26,M,Jalisco,Tonalá,Preparatoria,Empleado,39000,1698,False,True,Fan Shop,575,9,app_ios,6.0,False,False,es_MX,True,3,False
USR-00015,54,H,Jalisco,Puerto Vallarta,Licenciatura,Empleado,19500,373,False,True,App,484,5,app_ios,9.0,False,True,es_MX,True,3,False
USR-00016,53,H,Otros,Durango,Licenciatura,Empleado,18000,1074,True,True,App,749,4,app_android,10.0,True,False,es_MX,False,4,False
USR-00017,48,H,Nuevo León,García,Preparatoria,Independiente,25000,181,False,False,App,662,14,app_android,7.0,False,False,es_MX,True,3,True
USR-00018,25,M,Ciudad de México,CDMX - Tlalpan,Licenciatura,Empleado,22000,1491,True,True,App,720,4,app_android,7.0,False,True,es_MX,False,3,False
USR-00019,26,H,Puebla,Atlixco,Posgrado,Empleado,15500,917,False,True,App,376,111,app_android,6.0,False,False,es_MX,False,0,False
USR-00020,36,H,Querétaro,Querétaro,Licenciatura,Independiente,36500,1694,True,False,App,821,3,app_ios,7.0,False,True,es_MX,False,3,False
USR-00021,42,M,Otros,La Paz,Secundaria,Empleado,20000,60,True,True,App,611,4,app_ios,7.0,False,False,es_MX,False,1,False
USR-00022,54,H,Jalisco,Zapopan,Posgrado,Empresario,36000,134,True,False,App,803,10,app_ios,8.0,False,False,es_MX,False,0,False
USR-00023,34,M,Ciudad de México,CDMX - Coyoacán,Licenciatura,Empleado,12500,1475,False,True,Fan Shop,570,17,app_ios,6.0,False,False,es_MX,False,3,False
USR-00024,32,M,Guanajuato,Celaya,Preparatoria,Empleado,51000,656,True,False,Fan Shop,656,11,app_ios,9.0,False,False,es_MX,True,5,False
USR-00025,44,H,Otros,Villahermosa,Licenciatura,Empleado,14000,229,False,True,App,533,12,app_android,8.0,False,False,es_MX,True,3,False
USR-00026,26,M,Guanajuato,León,Preparatoria,Empleado,22500,212,True,False,App,770,3,app_android,8.0,False,False,es_MX,False,2,True
USR-00027,18,H,Tamaulipas,Reynosa,Preparatoria,Estudiante,23000,1773,False,False,App,769,3,app_ios,7.0,False,True,es_MX,False,1,False
USR-00028,31,H,Oaxaca,Tuxtepec,Posgrado,Empresario,28000,757,True,False,Fan Shop,564,0,app_android,,False,False,es_MX,False,2,False
USR-00029,54,H,,,Licenciatura,Independiente,85000,332,False,False,App,584,11,app_android,10.0,False,False,es_MX,False,4,False
USR-00030,27,SE,Ciudad de México,CDMX - Cuauhtémoc,Licenciatura,Empresario,17500,1205,True,False,App,622,1,app_ios,8.0,False,True,es_MX,False,2,False
USR-00031,37,M,Ciudad de México,CDMX - Miguel Hidalgo,Posgrado,Empleado,24000,1069,False,False,App,329,15,app_ios,5.0,True,True,es_MX,False,1,False
USR-00032,33,M,Ciudad de México,CDMX - Miguel Hidalgo,Licenciatura,Empleado,21500,1052,False,False,Fan Shop,833,5,app_ios,10.0,False,False,es_MX,True,3,False
