producto_id,user_id,tipo_producto,fecha_apertura,estatus,limite_credito,saldo_actual,utilizacion_pct,tasa_interes_anual,plazo_meses,monto_mensualidad,fecha_ultimo_movimiento,es_dato_sintetico
PRD-00000001,USR-00001,cuenta_debito,2023-06-26,activo,,80954.6,,,,,2025-11-27,True
PRD-00000002,USR-00001,tarjeta_credito_hey,2022-10-16,activo,144000.0,88790.4,0.6166,35.71,,,2025-09-17,True
PRD-00000003,USR-00002,cuenta_debito,2025-04-03,activo,,20712.54,,,,,2025-10-16,True
PRD-00000004,USR-00002,tarjeta_credito_hey,2025-07-18,activo,22000.0,6122.6,0.2783,34.08,,,2025-09-15,True
PRD-00000005,USR-00003,cuenta_debito,2023-03-26,activo,,3454.65,,,,,2025-09-27,True
PRD-00000006,USR-00003,tarjeta_credito_hey,2024-04-24,activo,5000.0,1545.5,0.3091,39.88,,,2025-10-15,True
PRD-00000007,USR-00004,cuenta_debito,2024-03-09,activo,,14100.48,,,,,2025-11-08,True
PRD-00000008,USR-00004,inversion_hey,2024-06-19,activo,,319425.53,,8.7,,,2025-09-12,True
PRD-00000009,USR-00004,tarjeta_credito_hey,2023-04-03,activo,67000.0,23704.6,0.3538,38.19,,,2025-11-02,True
PRD-00000010,USR-00005,cuenta_debito,2025-04-02,activo,,43326.11,,,,,2025-09-16,True
PRD-00000011,USR-00005,tarjeta_credito_hey,2024-04-09,activo,136000.0,86033.6,0.6326,30.95,,,2025-11-21,True
PRD-00000012,USR-00006,cuenta_debito,2024-08-05,activo,,72254.55,,,,,2025-09-26,True
PRD-00000013,USR-00006,tarjeta_credito_hey,2023-05-12,activo,73000.0,15132.9,0.2073,41.43,,,2025-11-20,True
PRD-00000014,USR-00007,cuenta_debito,2023-10-13,activo,,48407.64,,,,,2025-10-25,True
PRD-00000015,USR-00007,tarjeta_credito_hey,2024-04-12,activo,97000.0,16664.6,0.1718,40.88,,,2025-09-05,True
PRD-00000016,USR-00007,credito_nomina,2025-11-01,activo,11000.0,3529.9,0.3209,18.98,12.0,325.27,2025-09-21,True
PRD-00000017,USR-00007,inversion_hey,2024-10-09,activo,,33585.29,,5.31,,,2025-10-06,True
PRD-00000018,USR-00008,cuenta_debito,2024-09-14,activo,,53858.24,,,,,2025-09-02,True
PRD-00000019,USR-00008,tarjeta_credito_hey,2024-03-29,activo,52000.0,20066.8,0.3859,30.06,,,2025-09-03,True
PRD-00000020,USR-00009,cuenta_debito,2025-06-18,activo,,70010.91,,,,,2025-09-08,True
PRD-00000021,USR-00009,credito_nomina,2025-11-19,activo,63000.0,30416.4,0.4828,20.8,12.0,2829.27,2025-09-14,True
PRD-00000022,USR-00009,seguro_vida,2025-11-02,cancelado,,,,,,,2025-09-04,True
PRD-00000023,USR-00010,cuenta_debito,2025-01-30,activo,,16381.17,,,,,2025-10-13,True
PRD-00000024,USR-00011,cuenta_debito,2025-08-22,activo,,58422.89,,,,,2025-11-04,True
PRD-00000025,USR-00011,inversion_hey,2024-03-01,activo,,298686.84,,3.54,,,2025-09-22,True
PRD-00000026,USR-00012,cuenta_debito,2025-09-10,activo,,35122.66,,,,,2025-09-23,True
