user_id,nodos_financieros,nodos_conversacionales,tags_personalidad,perfil_final_tda,necesidad_principal
USR-00001,"['cube117_cluster0', 'cube135_cluster2']","['cube26_cluster23', 'cube27_cluster18']","['Perfil de Ocio y Entretenimiento', 'Perfil Internacional / Global User']",Especialista: Perfil de Ocio y Entretenimiento + frecuencia_servicios_digitales,Desconocido/Ninguno
USR-00002,"['cube67_cluster2', 'cube68_cluster2', 'cube86_cluster1', 'cube87_cluster0']",['cube14_cluster35'],"['Usuario Estándar', 'Perfil de Alerta (Comportamiento Inusual)']",Especialista: Perfil de Alerta (Comportamiento Inusual) + patron_uso_atipico,"Auto, Crédito, Quiero, Automotriz, Credito"
USR-00003,"['cube268_cluster0', 'cube269_cluster0']","['cube14_cluster79', 'cube15_cluster16', 'cube23_cluster44', 'cube24_cluster16']",['Usuario Estándar'],Especialista: patron_uso_atipico + Perfil de Alerta (Comportamiento Inusual),"Puedo, Bancos, Banregio, Independiente, Transferencia"
USR-00004,"['cube204_cluster0', 'cube205_cluster1']","['cube28_cluster12', 'cube29_cluster37']",['Viajero Frecuente'],Especialista: Viajero Frecuente + Inversor en Educación,"Cancelar, Crédito, Quiero, Cómo, Credito"
USR-00005,"['cube65_cluster1', 'cube66_cluster2']","['cube6_cluster8', 'cube14_cluster26']",['Usuario Estándar'],Especialista: frecuencia_servicios_digitales + Perfil de Ocio y Entretenimiento,"Crédito, Personal, Credito, Puedo, Quiero"
USR-00006,"['cube262_cluster2', 'cube275_cluster2']",['cube32_cluster26'],['Perfil Internacional / Global User'],Especialista: Perfil Internacional / Global User + frecuencia_servicios_digitales,"Límite, Depósitos, Puedo, Cuál, Depósito"
USR-00007,"['cube272_cluster1', 'cube273_cluster1', 'cube284_cluster1', 'cube285_cluster1']","['cube25_cluster24', 'cube33_cluster104']","['Viajero Frecuente', 'Usuario de Movilidad Urbana (Apps/Transporte)']",Especialista: Usuario de Movilidad Urbana (Apps/Transporte) + Cliente de Nómina (Alta Fidelidad),"Dinero, Pago, Puedo, Compra, Si"
USR-00008,['cube162_cluster2'],"['cube28_cluster43', 'cube29_cluster12', 'cube36_cluster3', 'cube37_cluster2']",['Perfil Internacional / Global User'],Especialista: Perfil Internacional / Global User + frecuencia_servicios_digitales,
USR-00009,"['cube31_cluster1', 'cube48_cluster0']","['cube24_cluster81', 'cube25_cluster93']","['Cliente de Nómina (Alta Fidelidad)', 'Usuario Tradicional (Uso de Efectivo)']",Especialista: Cliente de Nómina (Alta Fidelidad) + Usuario de Movilidad Urbana (Apps/Transporte),"Puedo, Física, Si, Cómo, Solicitar"
USR-00010,"['cube79_cluster2', 'cube99_cluster2']","['cube28_cluster9', 'cube36_cluster2']",['Perfil de Ocio y Entretenimiento'],Especialista: Perfil de Ocio y Entretenimiento + frecuencia_servicios_digitales,Desconocido/Ninguno
USR-00011,['cube84_cluster2'],['cube26_cluster36'],['Estudiante o Profesional en Formación'],Especialista: Estudiante o Profesional en Formación + Viajero Frecuente,"Aplicación, Puedo, Cómo, Actualizar, Si"
USR-00012,"['cube136_cluster0', 'cube137_cluster0']","['cube10_cluster10', 'cube11_cluster4', 'cube18_cluster45', 'cube19_cluster6']",['Usuario en Riesgo de Abandono (Inactivo)'],Especialista: Usuario en Riesgo de Abandono (Inactivo) + frecuencia_retiro_cajero,Desconocido/Ninguno
USR-00013,"['cube173_cluster0', 'cube174_cluster1', 'cube190_cluster0', 'cube191_cluster0']","['cube7_cluster24', 'cube8_cluster39', 'cube15_cluster70', 'cube16_cluster102']","['Viajero Frecuente', 'Inversor en Educación', 'Perfil de Alerta (Comportamiento Inusual)']",Especialista: Perfil de Alerta (Comportamiento Inusual) + patron_uso_atipico,"Atención, Número, Clientes, Cliente, Centro"
USR-00014,"['cube29_cluster0', 'cube30_cluster2', 'cube45_cluster0', 'cube46_cluster1']","['cube6_cluster22', 'cube7_cluster16', 'cube14_cluster23', 'cube15_cluster14']","['Cliente de Nómina (Alta Fidelidad)', 'Perfil Internacional / Global User']",Especialista: Perfil Internacional / Global User + Cliente de Nómina (Alta Fidelidad),"Préstamo, Personal, Quiero, Puedo, Solicitar"
USR-00015,"['cube67_cluster0', 'cube86_cluster2']",['cube26_cluster54'],"['Cliente de Nómina (Alta Fidelidad)', 'Usuario Estándar']",Especialista: Cliente de Nómina (Alta Fidelidad) + Usuario de Movilidad Urbana (Apps/Transporte),"Puedo, Bancos, Banregio, Independiente, Transferencia"
USR-00016,['cube239_cluster0'],"['cube6_cluster31', 'cube7_cluster22']",['Usuario Estándar'],Especialista: promedio_salud + Inversor en Educación,Desconocido/Ninguno
USR-00017,"['cube77_cluster1', 'cube78_cluster2']","['cube10_cluster9', 'cube18_cluster8']","['Inversor en Educación', 'Perfil de Alerta (Comportamiento Inusual)']",Especialista: Inversor en Educación + Estudiante o Profesional en Formación,"Si, Puedo, Quiero, Aparece, Cómo"
USR-00018,"['cube238_cluster2', 'cube253_cluster0']","['cube8_cluster29', 'cube9_cluster0']","['Cliente de Nómina (Alta Fidelidad)', 'Usuario Estándar']",Especialista: patron_uso_atipico + Cliente de Nómina (Alta Fidelidad),"Dinero, Pago, Puedo, Compra, Si"
USR-00019,"['cube71_cluster2', 'cube72_cluster0', 'cube91_cluster2', 'cube92_cluster0']","['cube26_cluster6', 'cube27_cluster36']",['Usuario Estándar'],Especialista: frecuencia_retiro_cajero + Usuario Tradicional (Uso de Efectivo),"Crédito, Aparece, Puedo, Credito, Garantizada"
USR-00020,"['cube215_cluster0', 'cube232_cluster1']","['cube22_cluster3', 'cube23_cluster20', 'cube30_cluster0', 'cube31_cluster12']","['Usuario Estándar', 'Perfil Familiar (Gastos de Casa)']",Especialista: promedio_entretenimiento + Viajero Frecuente,"Hablar, Asesor, Quiero, Ejecutivo, Puedo"
USR-00021,"['cube39_cluster0', 'cube40_cluster0', 'cube54_cluster0', 'cube55_cluster0']",['cube32_cluster26'],['Perfil Internacional / Global User'],Especialista: Perfil Internacional / Global User + frecuencia_retiro_cajero,"Transferencia, Transferencias, Puedo, Transferir, Hacer"
USR-00022,"['cube73_cluster1', 'cube74_cluster0', 'cube93_cluster1', 'cube94_cluster2']",['cube23_cluster4'],['Usuario Estándar'],Especialista: promedio_transporte + Responsable del Hogar (Gasto Elevado),"Atención, Número, Clientes, Cliente, Centro"
USR-00023,"['cube156_cluster0', 'cube157_cluster1', 'cube175_cluster1', 'cube176_cluster0']","['cube41_cluster11', 'cube42_cluster10']","['Cliente de Nómina (Alta Fidelidad)', 'Perfil Internacional / Global User', 'Perfil de Alerta (Comportamiento Inusual)']",Especialista: Perfil de Alerta (Comportamiento Inusual) + patron_uso_atipico,
USR-00024,"['cube75_cluster2', 'cube95_cluster0']","['cube14_cluster0', 'cube15_cluster69']","['Inversor en Educación', 'Usuario Estándar']",Especialista: Inversor en Educación + Viajero Frecuente,"000, Enganche, Si, Mil, 100"
USR-00025,['cube260_cluster0'],"['cube14_cluster19', 'cube15_cluster0', 'cube23_cluster62', 'cube24_cluster4']",['Inversor en Educación'],Especialista: Inversor en Educación + promedio_salud,"Transferencia, Transferencias, Puedo, Transferir, Hacer"
USR-00026,"['cube270_cluster2', 'cube271_cluster0']","['cube25_cluster1', 'cube26_cluster62', 'cube33_cluster5', 'cube34_cluster50']",['Perfil Internacional / Global User'],Especialista: Perfil Internacional / Global User,Desconocido/Ninguno
USR-00027,"['cube255_cluster0', 'cube267_cluster0']","['cube16_cluster52', 'cube17_cluster83', 'cube25_cluster85', 'cube26_cluster64']",['Usuario Estándar'],Especialista: frecuencia_retiro_cajero + Usuario Tradicional (Uso de Efectivo),"Aplicación, Puedo, Cómo, Actualizar, Si"
USR-00028,"['cube126_cluster0', 'cube146_cluster0']","['cube13_cluster5', 'cube14_cluster70', 'cube22_cluster5', 'cube23_cluster39']",['Usuario Estándar'],Especialista: patron_uso_atipico,"Si, Puedo, Quiero, Aparece, Cómo"
USR-00029,"['cube142_cluster0', 'cube143_cluster0']","['cube25_cluster53', 'cube26_cluster56']",['Responsable del Hogar (Gasto Elevado)'],Especialista: Responsable del Hogar (Gasto Elevado) + Perfil Familiar (Gastos de Casa),Desconocido/Ninguno
USR-00030,"['cube65_cluster1', 'cube66_cluster0']",['cube25_cluster56'],['Usuario Estándar'],Especialista: frecuencia_servicios_digitales + Perfil de Ocio y Entretenimiento,Desconocido/Ninguno
USR-00031,"['cube89_cluster1', 'cube108_cluster0']","['cube28_cluster44', 'cube36_cluster4']","['Usuario Estándar', 'Usuario en Riesgo de Abandono (Inactivo)']",Especialista: frecuencia_retiro_cajero + Usuario en Riesgo de Abandono (Inactivo),"Cancelar, Quiero, Cómo, Cancelo, Eliminar"
USR-00032,"['cube89_cluster0', 'cube90_cluster0']",['cube26_cluster23'],"['Viajero Frecuente', 'Perfil Internacional / Global User']",Especialista: Viajero Frecuente + Estudiante o Profesional en Formación,Desconocido/Ninguno
USR-00033,"['cube255_cluster0', 'cube267_cluster0']","['cube25_cluster6', 'cube26_cluster31']",['Usuario Estándar'],Especialista: frecuencia_retiro_cajero + Usuario Tradicional (Uso de Efectivo),"Norte, Pal, Puedo, Extranjero, Beneficios"
USR-00034,"['cube207_cluster1', 'cube208_cluster1', 'cube223_cluster1', 'cube224_cluster2']","['cube10_cluster1', 'cube18_cluster4']",['Estudiante o Profesional en Formación'],Especialista: Estudiante o Profesional en Formación + promedio_salud,"Si, Puedo, Quiero, Aparece, Cómo"
USR-00035,"['cube239_cluster0', 'cube240_cluster1']","['cube24_cluster2', 'cube32_cluster15']","['Inversor en Educación', 'Usuario Estándar']",Especialista: Inversor en Educación + Estudiante o Profesional en Formación,"Norte, Pal, Puedo, Extranjero, Beneficios"
USR-00036,['cube138_cluster1'],"['cube24_cluster0', 'cube32_cluster15']",['Usuario Estándar'],Especialista: promedio_salud + Cliente de Nómina (Alta Fidelidad),Desconocido/Ninguno
USR-00037,['cube171_cluster2'],"['cube6_cluster31', 'cube7_cluster27']",['Perfil de Ocio y Entretenimiento'],Especialista: Perfil de Ocio y Entretenimiento + frecuencia_servicios_digitales,"Si, Puedo, Quiero, Aparece, Cómo"
USR-00038,['cube162_cluster0'],['cube16_cluster68'],['Usuario Estándar'],Especialista: patron_uso_atipico + Usuario Tradicional (Uso de Efectivo),Desconocido/Ninguno
USR-00039,['cube287_cluster0'],"['cube16_cluster8', 'cube25_cluster40']",['Usuario en Riesgo de Abandono (Inactivo)'],Especialista: Usuario en Riesgo de Abandono (Inactivo) + patron_uso_atipico,"Aplicación, Puedo, Cómo, Actualizar, Si"
USR-00040,"['cube77_cluster0', 'cube78_cluster2']","['cube26_cluster45', 'cube27_cluster69']","['Viajero Frecuente', 'Inversor en Educación']",Especialista: Inversor en Educación + Estudiante o Profesional en Formación,"Crédito, Aparece, Puedo, Credito, Garantizada"
USR-00041,"['cube134_cluster2', 'cube135_cluster0']","['cube23_cluster18', 'cube31_cluster22']","['Cliente de Nómina (Alta Fidelidad)', 'Usuario Tradicional (Uso de Efectivo)']",Especialista: Cliente de Nómina (Alta Fidelidad) + Usuario de Movilidad Urbana (Apps/Transporte),"Hablar, Asesor, Quiero, Ejecutivo, Puedo"
USR-00042,['cube165_cluster1'],['cube34_cluster29'],['Usuario Estándar'],Especialista: frecuencia_retiro_cajero + Usuario en Riesgo de Abandono (Inactivo),Desconocido/Ninguno
USR-00043,"['cube214_cluster1', 'cube231_cluster0']","['cube31_cluster5', 'cube32_cluster30']",['Responsable del Hogar (Gasto Elevado)'],Especialista: Responsable del Hogar (Gasto Elevado) + Perfil Familiar (Gastos de Casa),"Transferencia, Transferencias, Puedo, Transferir, Hacer"
USR-00044,"['cube78_cluster0', 'cube98_cluster0']","['cube8_cluster38', 'cube9_cluster30']","['Usuario Estándar', 'Perfil Internacional / Global User']",Especialista: Perfil Internacional / Global User + frecuencia_retiro_cajero,"Puedo, Física, Si, Cómo, Solicitar"
USR-00045,['cube43_cluster0'],['cube25_cluster18'],['Usuario Tradicional (Uso de Efectivo)'],Especialista: Usuario Tradicional (Uso de Efectivo) + Perfil Internacional / Global User,"Dinero, Pago, Puedo, Compra, Si"
USR-00046,"['cube217_cluster1', 'cube218_cluster1', 'cube234_cluster2', 'cube235_cluster1']","['cube23_cluster18', 'cube31_cluster22']","['Perfil Internacional / Global User', 'Usuario Estándar']",Especialista: frecuencia_servicios_digitales + Perfil Foodie (Gasto en Restaurantes),"Hablar, Asesor, Quiero, Ejecutivo, Puedo"
USR-00047,['cube135_cluster2'],['cube34_cluster64'],['Perfil Internacional / Global User'],Especialista: Perfil Internacional / Global User + Perfil de Ocio y Entretenimiento,"Norte, Pal, Puedo, Extranjero, Beneficios"
USR-00048,"['cube134_cluster1', 'cube135_cluster1', 'cube153_cluster0', 'cube154_cluster0']","['cube25_cluster83', 'cube33_cluster85']",['Viajero Frecuente'],Especialista: Viajero Frecuente + Inversor en Educación,"Aplicación, Puedo, Cómo, Actualizar, Si"
USR-00049,"['cube237_cluster0', 'cube238_cluster0', 'cube252_cluster0', 'cube253_cluster1']","['cube5_cluster9', 'cube6_cluster23']","['Perfil Internacional / Global User', 'Usuario Estándar']",Especialista: frecuencia_servicios_digitales + Perfil de Ocio y Entretenimiento,"Si, Puedo, Quiero, Aparece, Cómo"
USR-00050,['cube101_cluster1'],['cube16_cluster6'],['Responsable del Hogar (Gasto Elevado)'],Especialista: Responsable del Hogar (Gasto Elevado) + Perfil Familiar (Gastos de Casa),"Dinero, Pago, Puedo, Compra, Si"
USR-00051,"['cube16_cluster0', 'cube17_cluster1', 'cube27_cluster0', 'cube28_cluster0']","['cube33_cluster37', 'cube40_cluster1']",['Responsable del Hogar (Gasto Elevado)'],Especialista: Responsable del Hogar (Gasto Elevado) + Perfil Familiar (Gastos de Casa),"Cancelar, Crédito, Quiero, Cómo, Credito"
USR-00052,['cube176_cluster2'],"['cube7_cluster1', 'cube8_cluster48', 'cube15_cluster65', 'cube16_cluster53']",['Usuario Estándar'],Especialista: frecuencia_retiro_cajero + Usuario Tradicional (Uso de Efectivo),"Puedo, Física, Si, Cómo, Solicitar"
USR-00053,"['cube224_cluster0', 'cube225_cluster2']",['cube7_cluster34'],"['Entusiasta de la Marca (Hey Fan Shop)', 'Usuario en Riesgo de Abandono (Inactivo)']",Especialista: Entusiasta de la Marca (Hey Fan Shop) + Usuario en Riesgo de Abandono (Inactivo),Desconocido/Ninguno
USR-00054,"['cube67_cluster1', 'cube86_cluster2']","['cube25_cluster83', 'cube26_cluster134', 'cube33_cluster101', 'cube34_cluster55']","['Viajero Frecuente', 'Cliente de Nómina (Alta Fidelidad)']",Especialista: Viajero Frecuente + Estudiante o Profesional en Formación,"Número, Teléfono, Numero, Puedo, Llamar"
USR-00055,"['cube20_cluster0', 'cube32_cluster0']","['cube17_cluster77', 'cube26_cluster12']",['Inversor en Educación'],Especialista: Inversor en Educación + promedio_salud,Desconocido/Ninguno
USR-00056,"['cube119_cluster2', 'cube120_cluster0']",['cube28_cluster20'],"['Perfil de Alerta (Comportamiento Inusual)', 'Usuario Tradicional (Uso de Efectivo)']",Especialista: Perfil de Alerta (Comportamiento Inusual) + patron_uso_atipico,"Cancelar, Quiero, Cómo, Cancelo, Eliminar"
USR-00057,"['cube162_cluster0', 'cube180_cluster1']","['cube26_cluster68', 'cube34_cluster8']",['Usuario Estándar'],Especialista: patron_uso_atipico + Perfil de Alerta (Comportamiento Inusual),"Número, Teléfono, Numero, Puedo, Llamar"
USR-00058,"['cube89_cluster2', 'cube108_cluster1']","['cube26_cluster6', 'cube27_cluster36']","['Usuario de Movilidad Urbana (Apps/Transporte)', 'Perfil de Alerta (Comportamiento Inusual)']",Especialista: Perfil de Alerta (Comportamiento Inusual) + patron_uso_atipico,"Crédito, Aparece, Puedo, Credito, Garantizada"
USR-00059,['cube187_cluster2'],"['cube8_cluster37', 'cube16_cluster91']",['Usuario Tradicional (Uso de Efectivo)'],Especialista: Usuario Tradicional (Uso de Efectivo) + frecuencia_retiro_cajero,"Atención, Número, Clientes, Cliente, Centro"
USR-00060,"['cube128_cluster1', 'cube129_cluster0']","['cube35_cluster1', 'cube36_cluster0']",['Estudiante o Profesional en Formación'],Especialista: Estudiante o Profesional en Formación + Viajero Frecuente,
USR-00061,['cube200_cluster1'],"['cube13_cluster4', 'cube14_cluster27', 'cube22_cluster8', 'cube23_cluster6']",['Usuario Estándar'],Especialista: promedio_transporte + Responsable del Hogar (Gasto Elevado),"Dinero, Pago, Puedo, Compra, Si"
USR-00062,"['cube168_cluster0', 'cube169_cluster0', 'cube185_cluster0', 'cube186_cluster0']","['cube26_cluster144', 'cube34_cluster55']",['Usuario Tradicional (Uso de Efectivo)'],Especialista: Usuario Tradicional (Uso de Efectivo) + frecuencia_retiro_cajero,"Cancelar, Quiero, Cómo, Cancelo, Eliminar"
USR-00063,['cube84_cluster2'],['cube25_cluster12'],['Estudiante o Profesional en Formación'],Especialista: Estudiante o Profesional en Formación + Viajero Frecuente,"Si, Puedo, Quiero, Aparece, Cómo"
USR-00064,['cube34_cluster2'],['cube14_cluster65'],['Perfil Internacional / Global User'],Especialista: Perfil Internacional / Global User + frecuencia_salud,"Seguro, Auto, Póliza, Puedo, Quiero"
USR-00065,"['cube34_cluster0', 'cube35_cluster0']",['cube25_cluster127'],"['Usuario Tradicional (Uso de Efectivo)', 'Perfil Foodie (Gasto en Restaurantes)']",Especialista: Usuario Tradicional (Uso de Efectivo) + frecuencia_retiro_cajero,"Dinero, Pago, Puedo, Compra, Si"
USR-00066,['cube162_cluster0'],"['cube17_cluster18', 'cube18_cluster9']",['Usuario Estándar'],Especialista: patron_uso_atipico + Usuario Tradicional (Uso de Efectivo),"Crédito, Línea, Aumento, Aumentar, Linea"
USR-00067,"['cube249_cluster2', 'cube250_cluster0']","['cube26_cluster73', 'cube27_cluster26', 'cube34_cluster27', 'cube35_cluster13']",['Usuario Tradicional (Uso de Efectivo)'],Especialista: Usuario Tradicional (Uso de Efectivo) + patron_uso_atipico,"Puedo, Física, Si, Cómo, Solicitar"
USR-00068,"['cube31_cluster1', 'cube48_cluster0']","['cube6_cluster1', 'cube14_cluster5']","['Cliente de Nómina (Alta Fidelidad)', 'Usuario Tradicional (Uso de Efectivo)']",Especialista: Cliente de Nómina (Alta Fidelidad) + Usuario de Movilidad Urbana (Apps/Transporte),"Pesos, Mil, Meses, 000, Si"
USR-00069,"['cube239_cluster2', 'cube240_cluster2']","['cube24_cluster39', 'cube25_cluster24']",['Responsable del Hogar (Gasto Elevado)'],Especialista: Responsable del Hogar (Gasto Elevado) + Perfil Familiar (Gastos de Casa),"Crédito, Línea, Aumento, Aumentar, Linea"
USR-00070,['cube228_cluster0'],"['cube24_cluster56', 'cube32_cluster20']",['Usuario Estándar'],Especialista: frecuencia_retiro_cajero + Usuario Tradicional (Uso de Efectivo),"Puedo, Bancos, Banregio, Independiente, Transferencia"
USR-00071,['cube4_cluster2'],"['cube41_cluster13', 'cube42_cluster9']",['Perfil de Alerta (Comportamiento Inusual)'],Especialista: Perfil de Alerta (Comportamiento Inusual) + patron_uso_atipico,Desconocido/Ninguno
USR-00072,['cube34_cluster2'],"['cube32_cluster24', 'cube33_cluster38']",['Perfil Internacional / Global User'],Especialista: Perfil Internacional / Global User + frecuencia_salud,"Dinero, Pago, Puedo, Compra, Si"
USR-00073,"['cube134_cluster1', 'cube135_cluster1', 'cube153_cluster2', 'cube154_cluster0']","['cube24_cluster63', 'cube25_cluster55', 'cube32_cluster43', 'cube33_cluster13']",['Viajero Frecuente'],Especialista: Viajero Frecuente + Estudiante o Profesional en Formación,"Puedo, Bancos, Banregio, Independiente, Transferencia"
USR-00074,"['cube94_cluster0', 'cube95_cluster1']","['cube34_cluster22', 'cube35_cluster16']",['Usuario Tradicional (Uso de Efectivo)'],Especialista: Usuario Tradicional (Uso de Efectivo) + Perfil Internacional / Global User,Desconocido/Ninguno
USR-00075,"['cube198_cluster1', 'cube199_cluster2']","['cube25_cluster53', 'cube26_cluster56']","['Responsable del Hogar (Gasto Elevado)', 'Perfil Familiar (Gastos de Casa)']",Especialista: Responsable del Hogar (Gasto Elevado) + Perfil Familiar (Gastos de Casa),"Inversión, Puedo, Cómo, Inversiones, Invertir"
USR-00076,['cube95_cluster2'],['cube33_cluster75'],['Perfil de Alerta (Comportamiento Inusual)'],Especialista: Perfil de Alerta (Comportamiento Inusual) + patron_uso_atipico,"Gracias, Muchas, Bien, Momento, Ok"
USR-00077,"['cube29_cluster0', 'cube30_cluster2', 'cube45_cluster0', 'cube46_cluster1']","['cube26_cluster91', 'cube27_cluster0']","['Cliente de Nómina (Alta Fidelidad)', 'Perfil Internacional / Global User']",Especialista: Perfil Internacional / Global User + Cliente de Nómina (Alta Fidelidad),"Número, Teléfono, Numero, Puedo, Llamar"
